event_id,event_group,event_category,event_type,description,equipment_id,equipment_name,event_time,note
al_32f81151-cf92-4270-a40e-5db4a3cd7b63,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-05 00:00:00,
al_a8776b29-a93a-40d9-9943-c6527946fa49,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-06 00:00:00,
al_adbac566-c48f-4b10-af8b-bea13e4c0243,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-06 20:15:00,
al_7acc8e6e-3c4e-40b3-ba1b-9aaf7de2c698,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-07 00:00:00,
al_d2a98e49-1fe4-4aa9-b0d1-0f1de3dfe011,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-07 12:15:00,
al_4c1c8ac1-7032-4502-9009-96eda95045bc,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-08 00:00:00,
al_b2e135f6-c3a3-458f-80e5-345a31aeb313,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-09 00:00:00,
al_ef2d3322-f17c-45ee-b7b3-908420d620db,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-10 00:00:00,
al_386e085a-776a-48f7-abc8-3777758e8ca5,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-11 00:00:00,
al_5b0d73d3-9a67-4a5b-a2d8-3a8dd3978cc3,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-12 00:00:00,
al_3359c95f-a30b-43ea-b380-05fe454262a0,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-13 00:00:00,
al_fa62f818-3148-4d7b-8696-1bd8c825b8f1,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-14 00:00:00,
al_95a45a8e-b590-43b0-a3d4-8c722c4916c6,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-15 00:00:00,
al_f7fdc6a5-ed02-4673-84e7-caf6790141d8,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-16 00:00:00,
al_5f24a48c-793c-4182-b387-d13d9450ef48,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-17 00:00:00,
al_6bffc095-0261-46f8-9f56-7aef96c985ac,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-18 00:00:00,
al_dc42f28d-4262-43d9-92a2-eac0bec81206,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-19 00:00:00,
al_fe60db32-d266-4afe-9e40-ecc51a4a9d02,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-20 00:00:00,
al_93adeddc-9c2d-483f-a670-33c2942aa1ef,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-21 00:00:00,
al_8fcc0f8f-00df-4ff9-8207-a86f771f7a76,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-22 00:00:00,
al_cc0d2adf-5251-49ac-ae13-030ff69c4f3d,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-23 00:00:00,
WO360239,WORK_ORDER,PM,MT004,Refrigerant Addition,CWC04012,Chiller 12,2020-04-23 13:00:00,
al_9d8b2042-c97b-4120-ae77-21b7d849ab08,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-24 00:00:00,
al_5b871c90-e8b4-4ec6-bbb2-c5a960fddea8,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-25 01:30:00,
al_3784e6f0-bf15-4c33-82fc-7c9035456a28,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-26 00:00:00,
al_f880b978-d3ec-48e3-8968-0937ca8c9722,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-27 00:00:00,
al_b7656e05-823e-4e0a-af61-c46dcf631bba,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-28 00:00:00,
al_c2cd9a81-4279-4c5c-98ec-21c4226b40b9,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-29 00:00:00,
al_531745fe-ebaf-4c98-b99d-3958d7dcf122,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-04-30 00:00:00,
al_b8853fb9-0eaf-4268-9262-37361936fc8b,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-01 00:00:00,
al_930136ca-95ea-48f8-a982-4d148db1c648,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-02 00:00:00,
al_8d42a61d-2ab0-4699-9f5c-da1333f711eb,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-03 00:00:00,
al_fe7fbaa7-79ec-439e-bd15-3e3a9b77866c,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-04 00:00:00,
al_9555450f-eb52-4b04-a755-e03466df7ad8,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-05 00:00:00,
al_66a9ae4a-f8a1-4522-ba4f-0cb6b8d90b54,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-06 00:00:00,
al_bda84568-da60-4b41-be5b-32749a6ae80c,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-07 00:00:00,
al_95597820-0c1e-4745-8736-fef63ec77b6c,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-08 00:00:00,
al_fa0f1d67-fa42-4598-8e2c-6a68ffb7c575,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-09 00:00:00,
al_f4fc89d9-d137-49fa-bcd7-d2e34afb698a,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-09 10:37:00,
al_62a888d9-5b37-41d5-8dba-1b11653e6241,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-10 00:00:00,
al_9abde987-0010-4c2f-a9c1-35d493cb7313,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-15 17:45:00,
al_13ab9f53-4179-4b58-ac96-6d2136ca400b,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-16 00:00:00,
al_a12f78de-94b4-400c-952a-22edd353ae19,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-17 00:00:00,
al_6c7ff612-c1b4-4129-a047-23499b5cad5d,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-18 00:00:00,
al_3003ee83-4f11-437f-94b1-6792c2704d26,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-18 09:00:00,
al_03904edf-24d6-4c55-a2b2-03ab9dca958c,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-19 00:00:00,
al_53a55015-00eb-46ab-a25d-a83c8ebb157f,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-19 18:15:00,
al_dd0e59e1-0c88-4fdc-90ee-98d685a4a507,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-20 02:15:00,
al_576e53b6-ab56-4309-b4e5-0c2206364b90,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-20 14:30:00,
al_41f72091-3da2-4c74-a3af-fd5012a41b6a,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-21 01:30:00,
al_24864b6c-4d8c-4eed-8dc9-a55b08ffbc1c,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-21 12:45:00,
al_a11646e0-3a1b-4f11-8e38-3e1c52835760,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-22 00:00:00,
al_070b60d4-fd60-46e7-b924-6f76003d11d9,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-22 17:00:00,
al_9b7a3643-7fb0-4942-8aad-0ed21f312200,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-23 00:00:00,
al_816b10c3-4b20-43db-866e-3040d7f6dba6,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-24 00:45:00,
al_1ddef6ff-1f85-41b1-b762-3b525a92e32a,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-25 00:00:00,
al_cd584041-912c-438c-8ac8-17c28e8e6284,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-26 00:00:00,
al_14cbf98f-eab3-436b-829c-660c6acc24f3,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-26 19:15:00,
al_11b5c74a-80d3-4139-8897-774f0bfabb5f,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-27 00:00:00,
al_95ed156a-e93e-4ffe-b70a-f2b0c900d603,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-28 00:00:00,
al_23df1422-6211-410c-9508-e67071939ef4,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-05-28 10:30:00,
WO351299,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2020-05-28 13:00:00,
WO364520,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2020-06-12 19:00:00,
WO362354,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2020-06-26 16:00:00,
WO349387,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04012,Chiller 12,2020-07-08 13:57:00,
WO367299,WORK_ORDER,PM,MT004,Refrigerant Addition,CWC04012,Chiller 12,2020-07-09 13:00:00,
WO369199,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04012,Chiller 12,2020-07-23 19:00:00,
WO371658,WORK_ORDER,CM,MT013,Vibration Analysis,CWC04012,Chiller 12,2020-08-24 19:00:00,
al_e1d3a77f-70d2-46ee-a158-080cd79eb9aa,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-25 09:30:00,
al_7af9b23a-dd73-46a2-b4ff-3419e3b3729a,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-26 09:15:00,
al_e6636529-b5b5-4233-95da-601bb220ae75,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-27 09:15:00,
al_69160659-0e9a-4843-b389-7f9a29376275,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-28 00:00:00,
al_74c8124e-f1a1-4611-aafb-f7732b4f8a36,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-28 09:30:00,
al_be7d7ccd-8a74-4354-912b-9d9b29e59564,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-29 00:00:00,
WO372505,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2020-09-29 12:00:00,
al_71c4e6df-d6fe-4c4d-920c-e150e9d100b9,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-29 13:15:00,
WO372504,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2020-09-29 16:00:00,
al_c315dd8e-e98e-4d11-8de1-27c83f255ec1,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-09-30 12:45:00,
WO373677,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2020-10-01 19:30:00,
al_2571a18b-c4eb-4173-b1aa-b85900765f6f,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-03 10:15:00,
al_ab6de90f-0cf8-4d96-8cf1-059c9b81ba3f,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-03 14:00:00,
al_4d1c42ee-2bed-473a-a029-89483a584f87,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-04 10:45:00,
al_f0943c5a-985d-47b0-b2fd-d0dc55db2960,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-04 14:00:00,
al_22b9c7c6-6cf9-455f-8838-aacb8844c9c8,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-05 09:15:00,
al_1077159b-8be8-4bfb-85df-4e57e2c1fe74,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-06 07:45:00,
al_8170d0df-500b-4246-a778-ec7b8bb9db7b,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-07 09:30:00,
al_1de419f5-936c-42d0-a444-6ab2b7756b0a,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-08 06:15:00,
al_88cb11c6-0725-46a9-bad8-b51a551ec95d,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-09 03:15:00,
al_b7831803-40c4-4dad-abdd-9a3834ea4601,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-10 03:45:00,
al_f3e169c2-8a6f-41f6-bb18-a6e803433f55,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-10 09:30:00,
al_c542a7a1-8b30-4db2-a2c4-e70eafe3702b,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-11 00:00:00,
al_00fab481-f950-45c2-87c6-8a6d1f26f015,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-11 10:30:00,
al_3b2994ad-c54c-4849-868c-a12ae52d2a7f,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-12 04:30:00,
al_56b93fa0-7805-421a-9c24-02e5f92e67c7,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-13 04:00:00,
al_27937475-d7f9-4a0e-97cb-04ef81c8f8a2,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-10-14 14:11:00,
WO374044,WORK_ORDER,PM,MT004,Refrigerant Addition,CWC04012,Chiller 12,2020-10-15 19:00:00,
al_d9bd0737-4f47-42a4-889e-61d565607c13,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-17 16:00:00,
al_c3b05924-8d8a-436c-9186-6a36e134ed16,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-18 00:00:00,
WO377533,WORK_ORDER,CM,MT011,Calibration,CWC04012,Chiller 12,2020-11-18 20:30:00,
al_1ca47166-65e7-4304-9805-2fc1e9ec61fe,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-19 00:00:00,
al_048e9b09-9e4d-489b-a3b6-862bed1958ec,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-19 14:30:00,
al_2190d1e2-279a-4989-bea4-60c5350b3ab7,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-20 00:00:00,
al_777a9883-33e7-4ca2-915d-8774bd9e1cc4,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-20 11:03:00,
al_2afd20eb-5143-4c58-8431-fbb6e05f8360,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-21 00:00:00,
al_779b7043-0d85-43a2-b488-d71fd813bac3,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-22 00:00:00,
al_858ddaff-59c6-4ef8-957b-5fc3ca1927aa,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-22 20:00:00,
al_ce63ab36-7879-45fb-ab5c-e96aec54415e,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-23 02:15:00,
al_2c1d6f88-f174-4f9a-98f5-4dc8124f927f,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-24 00:00:00,
al_ecf68fb2-5d7b-4384-b37a-da8a3f820ac7,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-25 00:00:00,
al_cea225fe-cde3-4b0f-b4fe-e80fa0d638c8,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-26 00:00:00,
al_aac53d3f-f16d-42db-bfa2-50e717cc8be0,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-27 00:00:00,
al_29cf731c-3c77-47c6-be81-c1661961ef46,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-28 00:00:00,
al_34b2f14c-ad74-4851-85cf-868f8b762f5c,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-29 00:00:00,
al_da701980-d6ff-4b30-92f6-1936012b1228,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2020-11-30 00:00:00,
WO377970,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2020-12-18 21:00:00,
WO382058,WORK_ORDER,CM,MT009,Refrigerant Transfer,CWC04012,Chiller 12,2021-01-26 20:30:00,
WO380661,WORK_ORDER,PM,MT004,Refrigerant Addition,CWC04012,Chiller 12,2021-02-02 18:00:00,
WO377507,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2021-02-08 15:30:00,
WO383519,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-02-22 20:30:00,
WO383535,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04012,Chiller 12,2021-02-23 16:30:00,
WO383528,WORK_ORDER,CM,CS005,Control System Malfunction,CWC04012,Chiller 12,2021-02-23 16:45:00,
WO384658,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-03-05 16:30:00,
WO377508,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04012,Chiller 12,2021-03-16 18:30:00,
al_35e06caf-494a-460e-9b90-fb5c6a840e58,ALERT,ALERT,RUL0012,Chiller - Cooling Substance Temperature Setpoint Attainment,CWC04012,Chiller 12,2021-04-15 16:25:00,
WO387152,WORK_ORDER,PM,MT004,Refrigerant Addition,CWC04012,Chiller 12,2021-05-11 13:30:00,
WO390303,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-05-19 19:00:00,
WO388298,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2021-05-21 17:30:00,
WO389853,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2021-06-14 19:00:00,
WO384009,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04012,Chiller 12,2021-06-21 20:00:00,
WO393577,WORK_ORDER,PM,MT004,Refrigerant Addition,CWC04012,Chiller 12,2021-08-04 13:00:00,
WO396009,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-08-16 18:14:00,
WO396099,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-08-18 18:16:00,
WO396538,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04012,Chiller 12,2021-08-24 15:16:00,
WO395423,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-08-26 18:49:00,
WO398078,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-09-14 19:39:00,
al_8da2b000-42e7-40e2-82ea-85492f6d7b9e,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-09-16 02:45:00,
WO398124,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-09-16 19:06:00,
WO398506,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-09-20 18:00:00,
WO398456,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-09-22 12:30:00,
al_a8ce221a-18a5-4e0f-8e5f-ce6f222b6f5a,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-09-23 06:00:00,
al_dc9c3d5c-562f-4b93-ade8-d3db6addca57,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-09-30 12:15:00,
al_5f7c198e-fd4f-4919-afeb-95e62dd33955,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-01 00:00:00,
WO391367,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04012,Chiller 12,2021-10-01 13:00:00,
al_e66624eb-0103-401c-b55e-c71cca163fe3,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-04 07:30:00,
al_54f32047-e7fa-4e83-842a-f925f27d7af3,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-10-07 10:11:00,
WO398375,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2021-10-07 19:19:00,
WO397976,WORK_ORDER,PM,MT010,Oil Analysis,CWC04012,Chiller 12,2021-10-07 19:19:00,
WO400112,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-10-08 14:00:00,
al_7ffbab92-e174-44d1-947b-a8664e50c7f3,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-19 06:45:00,
al_6956aa4f-2acf-4f81-afe4-4cef30ddbafe,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-26 03:45:00,
WO400557,WORK_ORDER,CM,MT010,Oil Analysis,CWC04012,Chiller 12,2021-10-26 15:56:00,
al_9a43e0ed-8515-4585-b81a-4fbb2f5a59cc,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-27 00:00:00,
al_76ae8725-c2aa-48fc-adec-a20a6d440003,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-28 00:00:00,
al_cbf15aa4-354d-428d-a0bc-f8258e40dbae,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-29 00:00:00,
al_8a33893b-5be5-48bd-9b44-6cc8a4a7f848,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-30 00:00:00,
al_77b4ec1d-6b4e-42db-b055-a185144fb1c4,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-10-31 00:00:00,
al_3a2ffd37-8929-4f68-96a1-8cdf6d69084b,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-01 00:00:00,
al_d6dc1a9a-14c1-4bee-b6b3-be2ce474ab34,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-01 03:47:00,
al_0e78a9f7-7806-4794-b4bf-ac6ee483198e,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-01 09:30:00,
al_48d8b44d-c930-4c38-adfc-7738a5012859,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-01 14:45:00,
al_b71394e1-e802-4ffc-a5a1-56b8694004e4,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-02 00:00:00,
al_0d3ba5f3-f997-416a-96df-f774a863657e,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-03 07:15:00,
al_58ea56af-2035-40ac-9bfa-5a1a03bec3f1,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-09 09:30:00,
al_6380ab32-95c4-4578-81db-8d38afc7dab9,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-10 00:00:00,
WO400069,WORK_ORDER,PM,MT004,Refrigerant Addition,CWC04012,Chiller 12,2021-11-11 19:30:00,
WO401673,WORK_ORDER,CM,MT002,Cleaning,CWC04012,Chiller 12,2021-11-15 20:30:00,
al_53cfb37f-d6be-4667-b71a-eccefdfa4b03,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-16 02:30:00,
al_bcaa4e49-3d01-4d05-a832-9e990de9bfeb,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-17 00:00:00,
al_c0a366e2-3d1c-440c-adcb-90337159e428,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-17 07:45:00,
al_1ed577a7-ebbe-48c4-8bf6-5ef7cee799e0,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-17 08:01:00,
al_2ca01564-9353-417b-8fae-f41a8737b32e,ALERT,ALERT,RUL0022,Chiller - Chiller Cycling,CWC04012,Chiller 12,2021-11-18 00:00:00,
al_1da324da-bc71-4b84-a7ea-8063d6fa17b7,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-18 07:45:00,
al_1949cd2d-3298-4e6c-bcdc-2fdc0a55dab5,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-19 00:00:00,
al_5bd8057d-6cef-47c3-bd1d-5ffe61ba2247,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-20 00:00:00,
al_9e1ef489-bd01-4baa-bdf7-286560787ce4,ALERT,ALERT,RUL0018,Chiller - Evaporator Approach High,CWC04012,Chiller 12,2021-11-21 00:00:00,
